6107468716;0
2413642968;0
4958048138;0
4052005545;0
2162856679;0
2707268232;0
2847424164;1
3901218825;1
2735394657;0
4793264246;1
3657620177;0
5709362183;0
5712616241;1
4429567421;1
5541118748;1
4020861971;0
2215107988;0
5072535758;0
5080717948;0
3890950205;0
3451562549;0
3026609436;1
4127825933;1
3583133065;0
4011979336;0
3810234041;0
4999157242;1
4594614275;1
4136453249;1
4898985968;0
4438839576;0
3852127214;0
2652057237;0
6132173844;0
3780255610;0
2690095779;0
4866474762;1
4141724306;1
2087130622;0
3833663658;1
1876661375;0
4472045461;0
3494783632;1
3351609336;0
5364179112;0
4233522639;0
3117147983;0
4936450412;1
5540842059;1
3553879670;0
2921393155;0
3678059152;0
2919511295;0
4152478864;0
4124658062;0
3306648300;0
5643776650;1
